year,1,2,3,4,5,6,7,8,9,10,11,12,anual
1961,17.692903225806454,11.572142857142856,4.064193548387097,2.311,1.7683870967741935,67.359,94.6183870967742,91.0725806451613,56.66,60.54354838709677,40.773,10.28967741935484,38.227068356374815
1962,5.645161290322581,3.7910714285714286,2.8174193548387096,22.088,10.440645161290323,29.723000000000003,47.79806451612903,8.450967741935484,65.64566666666667,19.260645161290324,11.371666666666666,12.027096774193547,19.921617063492064
1963,6.4154838709677415,3.6292857142857144,2.400645161290323,1.4136666666666666,1.8761290322580644,11.245000000000001,113.74806451612903,47.12322580645161,30.823666666666668,15.236774193548387,11.319333333333333,6.595483870967742,20.98556323604711
1964,5.548709677419355,3.223448275862069,2.1764516129032256,5.4270000000000005,2.5909677419354837,12.645666666666667,14.572258064516129,2.9780645161290322,11.815333333333333,18.50774193548387,14.928,28.259032258064515,10.222722840192807
1965,10.431290322580645,3.6164285714285715,2.6229032258064517,7.640666666666666,9.023225806451611,18.698333333333334,54.778387096774196,124.24354838709678,45.95633333333333,30.81967741935484,13.518,4.76516129032258,27.176162954429078
1966,3.488064516129032,4.2924999999999995,3.1835483870967742,3.4316666666666666,9.904193548387095,102.90666666666667,38.93064516129032,38.600322580645155,66.27966666666666,85.5809677419355,23.313333333333333,7.655483870967742,32.29725492831541
1967,5.8183870967741935,4.694285714285714,5.704516129032259,2.792666666666667,4.030322580645161,9.228666666666667,7.771290322580645,60.4641935483871,210.32166666666666,60.23548387096774,26.982000000000003,8.87741935483871,33.91007488479263
1968,6.741612903225807,5.660689655172414,5.4958064516129035,6.217333333333333,17.53548387096774,29.08966666666667,62.60193548387097,46.36645161290322,97.773,56.5958064516129,17.36866666666667,21.765806451612903,31.101021628970468
1969,13.079677419354839,13.185714285714285,9.785806451612904,7.257666666666666,12.718709677419357,3.0180000000000002,33.557096774193546,73.76645161290324,256.37833333333333,51.55741935483871,21.541666666666668,13.593225806451612,42.45331400409626
1970,6.166451612903225,5.808571428571428,4.638064516129032,2.5983333333333336,1.8964516129032258,74.27966666666666,55.40677419354839,39.60838709677419,118.74433333333333,36.64483870967742,9.400666666666666,4.518387096774194,29.97591052227342
1971,3.490322580645161,2.8632142857142857,2.5361290322580645,14.109,2.9648387096774194,17.540000000000003,24.963870967741936,51.91548387096774,67.82166666666667,157.9341935483871,47.48800000000001,11.742903225806451,33.780801907322065
1972,7.764838709677419,5.903793103448276,6.207741935483871,2.698666666666667,3.223548387096774,63.266,92.8309677419355,66.0516129032258,39.22366666666667,35.72,16.096,7.06258064516129,28.83745139661352
1973,4.146774193548388,2.7953571428571427,3.1903225806451614,1.3896666666666666,9.62225806451613,81.10799999999999,66.01290322580645,149.28419354838712,57.04633333333334,68.87870967741935,12.419333333333332,13.537096774193548,39.119245711725554
