COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 13071 
 NOMBRE    : EL TAJO 
 ESTADO    : HIDALGO 
 MUNICIPIO : METZTITLÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.4625 ° 
 LONGITUD  : -98.67638889 ° 
 ALTITUD   : 1383 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1973-02-01	0	6.8	30	9
1973-02-02	0	3	13	10
1973-02-03	0	4.5	20	10
1973-02-04	0	5.7	25	10.5
1973-02-05	0	5.3	30.5	10
1973-02-06	0	5.7	28.5	10
1973-02-07	0	7.1	32	11
1973-02-08	0	4.9	34.5	13.5
1973-02-09	0	4.9	14	7
1973-02-10	0	3.2	20	2
1973-02-11	0	5.3	26	3
1973-02-12	0	6	31	7
1973-02-13	0	7.1	32	10
1973-02-14	0	5.6	23.5	12.5
1973-02-15	0	4.9	19	12
1973-02-16	1	2.7	16	11.5
1973-02-17	0	3.3	20	11
1973-02-18	0	4.4	25	11.5
1973-02-19	0	4.1	26	11.5
1973-02-20	0	2.5	19	12.5
1973-02-21	0	3.1	22.5	13
1973-02-22	0	5.6	29	13
1973-02-23	0	4.4	29.5	14
1973-02-24	0	4.5	24	12
1973-02-25	0	6.4	25	13.5
1973-02-26	1	4.9	26.5	13
1973-02-27	0	3.3	20.5	13
1973-02-28	0	5.4	22.5	12
1973-03-01	0	5.6	31	11
1973-03-02	0	6.8	28	12
1973-03-03	0	7.1	31	11
1973-03-04	0	8	34	13
1973-03-05	0	6.9	36	13.5
1973-03-06	0	9.1	33	14.5
1973-03-07	0	8.1	33.5	13
1973-03-08	0	8.1	35	17
1973-03-09	0	9.8	36.5	16
1973-03-10	0	8.6	37	15
1973-03-11	0	7.6	36.5	14.5
1973-03-12	0	7	32.5	14
1973-03-13	0	8	37	16
1973-03-14	0	8.8	36	18
1973-03-15	0	8.1	40.5	18
1973-03-16	0	4.4	23	17.5
1973-03-17	0	4.3	25	11
1973-03-18	0	7.1	30.5	12
1973-03-19	0	9.7	35	11.5
