year,1,2,3,4,5,6,7,8,9,10,11,12,anual
1995,18952704.0,15895872.0,14807232.0,7844256.0,4912704.0,28820448.0,101068992.0,254493792.0,162222912.0,105460704.0,87438528.0,41169600.0,843087744.0
1996,20514816.0,11296800.0,8310816.0,5867424.0,5675616.0,43586208.0,38945664.0,181499616.0,147413952.0,74498400.0,38816928.0,18239040.0,594665280.0
1997,11388384.0,8590752.0,14201568.0,40468896.0,26930880.0,22296384.0,74247840.0,27709344.0,92200896.0,151511904.0,33664032.0,17311968.0,520522848.0
1998,10107072.0,6862752.0,5469120.0,3508704.0,2845152.0,2358720.0,25272864.0,77504256.0,526352256.0,605600064.0,199216800.0,57925152.0,1523022912.0
1999,23160384.0,12286944.0,9320832.0,6014304.0,3777408.0,27765504.0,254201760.0,68162688.0,267250752.0,740092032.0,45387648.0,24223104.0,1481643360.0
2000,16339104.0,11910240.0,9424512.0,10685952.0,13712544.0,177890688.0,53044416.0,189474336.0,118044864.0,143921664.0,40443840.0,54943488.0,839835648.0
2001,19751040.0,17845056.0,11753856.0,7259328.0,18340128.0,23020416.0,89864640.0,72884448.0,366895008.0,98597952.0,55681344.0,23385888.0,805279104.0
2002,12831264.0,7814880.0,5916672.0,3887136.0,4040064.0,40740192.0,103738752.0,37559808.0,215143776.0,116061120.0,107235360.0,28583712.0,683552736.0
2003,29858976.0,29824416.0,14982624.0,8603712.0,3757536.0,12546144.0,40815360.0,113260896.0,517966272.0,242996544.0,134354592.0,32815584.0,1181782656.0
2004,18573408.0,11914560.0,19815840.0,29528064.0,72072288.0,145825920.0,70557696.0,105311232.0,106668576.0,156912768.0,30590784.0,15943392.0,783714528.0
2005,12359520.0,10790496.0,9022752.0,5450112.0,13485312.0,26196480.0,88493472.0,350685504.0,192532896.0,458080704.0,73543680.0,33775488.0,1274416416.0
2006,17498592.0,11211264.0,9264672.0,4745088.0,6076512.0,15816384.0,35330688.0,81050976.0,170944128.0,198042624.0,101497536.0,86118336.0,737596800.0
2007,28083456.0,70290720.0,23205312.0,16119648.0,6228576.0,16200000.0,17720640.0,254441088.0,436101408.0,234367776.0,55207008.0,44375904.0,1202341536.0
2008,30667680.0,18216576.0,9042624.0,7489152.0,7305984.0,104766912.0,401903424.0,122122080.0,421192224.0,313497216.0,77972544.0,31646592.0,1545823008.0
2009,14615424.0,17721504.0,11221632.0,6659712.0,5128704.0,12485664.0,47824128.0,20195136.0,347334912.0,301135104.0,68017536.0,49244544.0,901584000.0
2010,47234880.0,67531104.0,24385536.0,26500608.0,12285216.0,11494656.0,483282720.0,308104128.0,512216352.0,72841248.0,26293248.0,16000416.0,1608170112.0
2011,12129696.0,9856512.0,9074592.0,3522528.0,7424352.0,29694816.0,253884672.0,25871616.0,34863264.0,17620416.0,16301952.0,16401312.0,436645728.0
2012,43203456.0,43697664.0,30255552.0,25722144.0,22056192.0,28353024.0,70619904.0,307365408.0,62989920.0,44549568.0,35711712.0,29445984.0,743970528.0
2013,33931008.0,28831680.0,28479168.0,23705568.0,34457184.0,92352096.0,106425792.0,131464512.0,505786464.0,113179680.0,227221632.0,62544096.0,1388378880.0
2014,51407136.0,34993728.0,36103968.0,34610976.0,41363136.0,159284448.0,128825856.0,52192512.0,205048800.0,358676640.0,76175424.0,48889440.0,1227572064.0
medio_mensual,20087518.426229507,16335973.770491803,12054188.06557377,13345174.032786885,15566857.967213115,66424403.61290322,152214945.04918033,136642548.98360655,280417531.27868855,169550496.0,58723572.983606555,30952162.62295082,957704228.1290323
