COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30365 
 NOMBRE    : ZACUALPAN 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : ZACUALPAN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.43055556 ° 
 LONGITUD  : -98.35277778 ° 
 ALTITUD   : 1625 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1982-06-17	0	NULO	NULO	NULO
1992-09-26	35.2	NULO	21	14
1992-09-27	46.9	NULO	19	14
1992-09-28	25.5	NULO	17.5	12.5
1992-09-29	12.4	NULO	14.5	10
1992-09-30	0	NULO	17	8
1992-10-01	0	NULO	19.5	5
1992-10-02	0	NULO	19	4
1992-10-03	0	NULO	19	7.5
1992-10-04	0	NULO	21	7
1992-10-05	0	NULO	20.5	8.5
1992-10-06	0.4	NULO	20	7.5
1992-10-07	0	NULO	21.5	12.5
1992-10-08	8.3	NULO	20.5	11
1992-10-09	10.1	NULO	22	10.5
1992-10-10	0	NULO	23	11.5
1992-10-11	49.6	NULO	21.5	12.5
1992-10-12	40.7	NULO	22	14
1992-10-13	0	NULO	21.5	12.5
1992-10-14	6.5	NULO	23	12
1992-10-15	0	NULO	24	12
1992-10-16	0	NULO	23.5	12.5
1992-10-17	8.5	NULO	24	12.5
1992-10-18	26.4	NULO	16	10
1992-10-19	2.9	NULO	18.5	10.5
1992-10-20	2.2	NULO	20.5	7.5
1992-10-21	2	NULO	17.5	12
1992-10-22	5.1	NULO	20	9
1992-10-23	49.8	NULO	20	11.5
1992-10-24	28.6	NULO	19.5	3
1992-10-25	0	NULO	23.5	3.5
1992-10-26	0	NULO	22	5
1992-10-27	0	NULO	25.5	6
1992-10-28	0	NULO	25	9
1992-10-29	0	NULO	24	9
1992-10-30	0	NULO	26	11.5
1992-10-31	0	NULO	25.5	11.5
1992-11-01	2.5	NULO	18.5	13
1992-11-02	0	NULO	22	12
1992-11-03	7.4	NULO	24.5	10.5
1992-11-04	5.1	NULO	22.5	12
1992-11-05	2.4	NULO	15	5
1992-11-06	23.3	NULO	14	6
1992-11-07	13.5	NULO	15.5	9
1992-11-08	2.8	NULO	18.5	10
1992-11-09	0	NULO	21.5	10
1992-11-10	0	NULO	23.5	10.5
1992-11-11	1.9	NULO	24	11.5
1992-11-12	9.7	NULO	20.5	10.5
1992-11-13	12.4	NULO	18.5	6
1992-11-14	18.8	NULO	25	3
1992-11-15	5.1	NULO	16.5	7.5
1992-11-16	3.2	NULO	19	9.5
1992-11-17	0	NULO	20	3.5
1992-11-18	0	NULO	21.5	5.5
1992-11-19	0	NULO	20.5	8
1992-11-20	0	NULO	22	9
1992-11-21	0	NULO	24.5	8.5
1992-11-22	0	NULO	26	6.5
1992-11-23	0	NULO	24.5	8
1992-11-24	1.1	NULO	26	5.5
1992-11-25	2.4	NULO	25	7
1992-11-26	4.5	NULO	12.5	6
1992-11-27	0.5	NULO	12	2
1992-11-28	0.6	NULO	14	0
1992-11-29	0	NULO	21.5	1
1992-11-30	0	NULO	20.5	5.5
1992-12-01	0	NULO	20.5	5
1992-12-02	0	NULO	21.5	6
1992-12-03	0	NULO	21	5.5
1992-12-04	0	NULO	25	6
1992-12-05	0	NULO	24	8
1992-12-06	0	NULO	21.5	8.5
1992-12-07	0	NULO	25.5	7
1992-12-08	0	NULO	25	10.5
1992-12-09	0	NULO	24	9
1992-12-10	0	NULO	26	1.5
1992-12-11	0	NULO	20	2
1992-12-12	0	NULO	26.5	5
1992-12-13	0	NULO	26	12
1992-12-14	0	NULO	24	11
1992-12-15	0.4	NULO	25	8.5
1992-12-16	0	NULO	21.5	10
1992-12-17	1.1	NULO	23	5.5
1992-12-18	0	NULO	25.5	6.5
1992-12-19	0	NULO	26	11
1992-12-20	0	NULO	25	10.5
1992-12-21	0	NULO	25.5	8.5
1992-12-22	22.2	NULO	21.5	9
1992-12-23	2.9	NULO	21	9.5
1992-12-24	4.4	NULO	22	6
1992-12-25	3.1	NULO	20.5	5.5
1992-12-26	9.2	NULO	21	7
1992-12-27	2.6	NULO	21	8
1992-12-28	0	NULO	20.5	11
1992-12-29	0	NULO	21.5	9
1992-12-30	0	NULO	23	7.5
1992-12-31	4.8	NULO	22	6.5
1993-01-01	0	NULO	23	7
1993-01-02	0	NULO	23.5	8
1993-01-03	0	NULO	22	9
1993-01-04	2.1	NULO	25	7
1993-01-05	0	NULO	20	10
1993-01-06	0	NULO	23	8
1993-01-07	0	NULO	25.5	9.5
1993-01-08	0	NULO	24.5	9.5
1993-01-09	0	NULO	25	10.5
1993-01-10	0.4	NULO	23.5	7.5
1993-01-11	0	NULO	23	8.5
1993-01-12	0	NULO	27	9.5
1993-01-13	0	NULO	16	8
1993-01-14	0	NULO	21.5	8
1993-01-15	0	NULO	27	11.5
1993-01-16	0	NULO	19	10.5
1993-01-17	0	NULO	22.5	7.5
1993-01-18	0	NULO	22.5	6.5
1993-01-19	0	NULO	25	8
1993-01-20	0	NULO	24	11
1993-01-21	0	NULO	22	10
1993-01-22	0	NULO	21.5	9.5
1993-01-23	0	NULO	20.5	8.5
1993-01-24	13.6	NULO	17.5	9
1993-01-25	3.1	NULO	17	4
1993-01-26	0.8	NULO	13	2.5
1993-01-27	2.4	NULO	15	1.5
1993-01-28	4.7	NULO	14.5	3
1993-01-29	9.1	NULO	13.5	5
1993-01-30	1.9	NULO	16.5	3.5
1993-01-31	2.6	NULO	16	2.5
1993-02-01	0	NULO	20	3
1993-02-02	0.8	NULO	21.5	4
1993-02-03	1.1	NULO	22.5	6
1993-02-04	9.3	NULO	21	5
1993-02-05	8.7	NULO	12.5	4.5
1993-02-06	6.8	NULO	13	2
1993-02-07	0.8	NULO	12.5	1.5
1993-02-08	0	NULO	16	4
1993-02-09	0	NULO	21	4.5
1993-02-10	0	NULO	24	6.5
1993-02-11	0	NULO	25.5	7
1993-02-12	0	NULO	26	9
1993-02-13	0	NULO	25.5	10.5
1993-02-14	0	NULO	27	10.5
1993-02-15	0	NULO	28.5	11.5
1993-02-16	0	NULO	24	10.5
1993-02-17	1.2	NULO	18.5	11
1993-02-18	2.4	NULO	19	7.5
1993-02-19	0	NULO	27	9
1993-02-20	0	NULO	27	11.5
1993-02-21	0	NULO	26.5	10.5
1993-02-22	0	NULO	27.5	11
1993-02-23	0	NULO	25.5	10
1993-02-24	0	NULO	28.5	11.5
1993-02-25	0	NULO	29.5	10.5
1993-02-26	0	NULO	27.5	8.5
1993-02-27	0	NULO	26.5	9.5
1993-02-28	0	NULO	28.5	10
1993-03-01	0	NULO	27.5	11.5
1993-03-02	0	NULO	27	9.5
1993-03-03	0	NULO	23.5	7.5
1993-03-04	0	NULO	22	7
1993-03-05	3.4	NULO	17.5	6
1993-03-06	6.3	NULO	15	5
1993-03-07	14.7	NULO	14.5	4.5
1993-03-08	3	NULO	19.5	7
1993-03-09	0	NULO	18.5	7.5
1993-03-10	0	NULO	23.5	7
1993-03-11	0	NULO	25	9
1993-03-12	30.9	NULO	26.5	8.5
1993-03-13	1.8	NULO	13.5	0
1993-03-14	0	NULO	14	0
1993-03-15	0	NULO	21.5	-1
1993-03-16	0	NULO	23.5	5
1993-03-17	0	NULO	24.5	5.5
1993-03-18	0	NULO	21.5	4
1993-03-19	0.6	NULO	25.5	9.5
1993-03-20	0	NULO	26.5	7
1993-03-21	0	NULO	25	6.5
1993-03-22	0.7	NULO	24.5	7.5
1993-03-23	1.1	NULO	24	7
1993-03-24	0	NULO	24.5	8.5
1993-03-25	0	NULO	23.5	7.5
1993-03-26	0.9	NULO	23	8
1993-03-27	0	NULO	25.5	10.5
1993-03-28	0	NULO	27	11.5
1993-03-29	0	NULO	26.5	12.5
1993-03-30	0	NULO	29.5	11
1993-03-31	0	NULO	28	12
1993-04-01	0.3	NULO	22	8.5
1993-04-02	3.2	NULO	19.5	9.5
1993-04-03	1.8	NULO	27.5	10.5
1993-04-04	0	NULO	26	10.5
1993-04-05	1.2	NULO	25	9
1993-04-06	0	NULO	20.5	8.5
1993-04-07	0	NULO	29.5	13.5
1993-04-08	0	NULO	26	15
1993-04-09	0.4	NULO	29	10.5
1993-04-10	0	NULO	28.5	12.5
1993-04-11	0	NULO	28	11.5
1993-04-12	0	NULO	28	7.5
1993-04-13	0	NULO	31	12
1993-04-14	0	NULO	32.5	13.5
1993-04-15	0	NULO	21.5	12.5
1993-04-16	0	NULO	14.5	9.5
1993-04-17	0	NULO	24.5	8
1993-04-18	0	NULO	29.5	8.5
1993-04-19	0	NULO	23	10.5
1993-04-20	18.7	NULO	21.5	6.5
1993-04-21	29.8	NULO	19.5	5
1993-04-22	8.4	NULO	31	2.5
1993-04-23	0	NULO	25.5	7
1993-04-24	0	NULO	26	12
1993-04-25	16.6	NULO	29.5	9.5
1993-04-26	3.8	NULO	22	10.5
1993-04-27	0	NULO	25	11.5
1993-04-28	0	NULO	24.5	13.5
1993-04-29	0	NULO	25.5	14
1993-04-30	18.6	NULO	25.5	13
1993-05-01	2.1	NULO	27.5	10
1993-05-02	0	NULO	23	11
1993-05-03	0.2	NULO	23.5	11.5
1993-05-04	1.9	NULO	28	11.5
1993-05-05	2.8	NULO	26.5	10
1993-05-06	0	NULO	23	10.5
1993-05-07	3.1	NULO	23.5	13
1993-05-08	1.1	NULO	26.5	13
1993-05-09	3.4	NULO	26	10.5
1993-05-10	15.2	NULO	27.5	8
1993-05-11	0	NULO	24.5	6.5
1993-05-12	0	NULO	23.5	7.5
1993-05-13	0	NULO	23.5	7
1993-05-14	0.2	NULO	23	12
1993-05-15	0	NULO	23.5	10
1993-05-16	0	NULO	24	8
1993-05-17	0	NULO	24.5	9.5
1993-05-18	6.5	NULO	28.5	12
1993-05-19	0	NULO	25.5	11
1993-05-20	0	NULO	23	12
1993-05-21	1.9	NULO	24	13
1993-05-22	4.6	NULO	24.5	11.5
1993-05-23	2.6	NULO	25	10.5
1993-05-24	7.2	NULO	26	9.5
1993-05-25	11.3	NULO	23	10.5
1993-05-26	1.7	NULO	22.5	7.5
1993-05-27	0	NULO	25.5	6.5
1993-05-28	0	NULO	24.5	9
1993-05-29	0	NULO	25.5	10.5
1993-05-30	0	NULO	26	11.5
1993-05-31	3.7	NULO	26.5	10
1993-06-01	0	NULO	24	12.5
1993-06-02	0	NULO	25.5	9
1993-06-03	0	NULO	28.5	10.5
1993-06-04	0	NULO	29	11.5
1993-06-05	0	NULO	26.5	13
1993-06-06	0	NULO	28	12.5
1993-06-07	0	NULO	27.5	12
1993-06-08	0	NULO	25.5	13
1993-06-09	11.3	NULO	23	12.5
1993-06-10	0	NULO	23	12.5
1993-06-11	0	NULO	22.5	13
1993-06-12	16.8	NULO	23.5	11.5
1993-06-13	24.1	NULO	22	11.5
1993-06-14	16.2	NULO	20.5	10.5
1993-06-15	21.9	NULO	20.5	13.5
1993-06-16	8.2	NULO	23	12.5
1993-06-17	18.4	NULO	23.5	10.5
1993-06-18	0.2	NULO	24	11.5
1993-06-19	17.2	NULO	24	12
1993-06-20	24.9	NULO	23.5	11.5
1993-06-21	14.5	NULO	24.5	12.5
1993-06-22	58.6	NULO	23	13.5
1993-06-23	9.9	NULO	21.5	14.5
1993-06-24	32.4	NULO	22.5	15
1993-06-25	24.8	NULO	22	13.5
1993-06-26	17.3	NULO	23.5	14
1993-06-27	32.9	NULO	23	12.5
1993-06-28	24.9	NULO	22	12.5
1993-06-29	44.3	NULO	21.5	13.5
1993-06-30	22.3	NULO	21	14
1993-07-01	24	NULO	22	14
1993-07-02	27.2	NULO	24	13.5
1993-07-03	53.6	NULO	23.5	12.5
1993-07-04	12	NULO	24	13
1993-07-05	14.1	NULO	23.5	12.5
1993-07-06	41.3	NULO	21	13.5
1993-07-07	19.5	NULO	19.5	13
1993-07-08	9	NULO	21.5	13.5
1993-07-09	38.4	NULO	22	13
1993-07-10	20.2	NULO	21	10
1993-07-11	0	NULO	22	11.5
1993-07-12	0	NULO	21.5	10.5
1993-07-13	0	NULO	23	12
1993-07-14	0	NULO	23	11
1993-07-15	0	NULO	24	11.5
1993-07-16	0	NULO	24	10.5
1993-07-17	5.3	NULO	23	13.5
1993-07-18	10.9	NULO	23.5	12
1993-07-19	28.4	NULO	22.5	11
1993-07-20	12.5	NULO	22	11.5
1993-07-21	0	NULO	23	13
1993-07-22	0	NULO	23	12.5
1993-07-23	0	NULO	24	11
1993-07-24	0	NULO	25.5	10.5
1993-07-25	0	NULO	25	12.5
1993-07-26	4.8	NULO	24	11
1993-07-27	0	NULO	23.5	9.5
1993-07-28	1.3	NULO	24	14.5
1993-07-29	0	NULO	24	10.5
1993-07-30	0	NULO	23.5	10.5
1993-07-31	36.8	NULO	23	10
1993-08-01	0	NULO	21.5	9.5
1993-08-02	0	NULO	22.5	10.5
1993-08-03	3.6	NULO	23	11.5
1993-08-04	22.2	NULO	23.5	10.5
1993-08-05	12.2	NULO	20.5	12.5
1993-08-06	0	NULO	22.5	11
1993-08-07	4.9	NULO	23	12
1993-08-08	7.7	NULO	24	9.5
1993-08-09	2.3	NULO	20.5	10.5
1993-08-10	17.6	NULO	24	11
1993-08-11	16.1	NULO	23.5	9
1993-08-12	12.9	NULO	22	10
1993-08-13	5.2	NULO	22.5	10
1993-08-14	13.2	NULO	21	14.5
1993-08-15	20.7	NULO	23	14
1993-08-16	6.5	NULO	23	11
1993-08-17	37.6	NULO	20	13
1993-08-18	15.5	NULO	22	10.5
1993-08-19	17.2	NULO	21	11
1993-08-20	42.8	NULO	21	12.5
1993-08-21	7.2	NULO	23	12
1993-08-22	0	NULO	24	11.5
1993-08-23	0.3	NULO	20	13
1993-08-24	4.2	NULO	23.5	12
1993-08-25	0	NULO	23.5	12
1993-08-26	0	NULO	23	11.5
1993-08-27	0	NULO	22.5	11
1993-08-28	17.1	NULO	22.5	11.5
1993-08-29	2.2	NULO	24	12.5
1993-08-30	1.5	NULO	23.5	13
1993-08-31	36.1	NULO	23	12
1993-09-01	24	NULO	22.5	13.5
1993-09-02	0.4	NULO	22	12.5
1993-09-03	3.4	NULO	23.5	10.5
1993-09-04	0	NULO	22.5	11.5
1993-09-05	0	NULO	23	11.5
1993-09-06	0.2	NULO	23	12.5
1993-09-07	27.3	NULO	24	13
1993-09-08	17.6	NULO	23.5	11.5
1993-09-09	48.1	NULO	22.5	12.5
1993-09-10	53.2	NULO	20	14
1993-09-11	32.3	NULO	24.5	13.5
1993-09-12	0	NULO	22.5	12
1993-09-13	0	NULO	25.5	13
1993-09-14	8.2	NULO	24.5	13
1993-09-15	30.1	NULO	22.5	13.5
1993-09-16	0	NULO	22	13
1993-09-17	10.2	NULO	23	12
1993-09-18	40.5	NULO	23.5	12.5
1993-09-19	52.6	NULO	22.5	11
1993-09-20	57.6	NULO	18	13.5
1993-09-21	40.5	NULO	18	14
1993-09-22	18.9	NULO	19.5	14
1993-09-23	7.5	NULO	23	13
1993-09-24	11.2	NULO	19.5	13.5
1993-09-25	14.6	NULO	24	10.5
1993-09-26	21.1	NULO	22	11.5
1993-09-27	16.4	NULO	16.5	11
1993-09-28	18.8	NULO	14.5	9.5
1993-09-29	45.8	NULO	12.5	10.5
1993-09-30	24.4	NULO	14.5	10
1993-10-01	18.9	NULO	20.5	12.5
1993-10-02	0.2	NULO	21.5	9
1993-10-03	23.7	NULO	23	8
1993-10-04	0.9	NULO	21	9
1993-10-05	9.1	NULO	22.5	12
1993-10-06	4.6	NULO	22	11.5
1993-10-07	0	NULO	23	8.5
1993-10-08	0	NULO	22.5	7
1993-10-09	0	NULO	23.5	6.5
1993-10-10	3.1	NULO	24	8
1993-10-11	0	NULO	24	10.5
1993-10-12	0	NULO	24.5	11.5
1993-10-13	0	NULO	25	11
1993-10-14	0	NULO	24.5	12.5
1993-10-15	0	NULO	26.5	10
1993-10-16	0	NULO	25.5	9
1993-10-17	0	NULO	26	9
1993-10-18	0	NULO	27.5	8.5
1993-10-19	0	NULO	26.5	9
1993-10-20	44.2	NULO	26.5	10.5
1993-10-21	11	NULO	14	12
1993-10-22	0	NULO	15.5	6.5
1993-10-23	0	NULO	18	6
1993-10-24	0	NULO	18.5	6.5
1993-10-25	0	NULO	23	9.5
1993-10-26	1.2	NULO	21	9
1993-10-27	0	NULO	15.5	11.5
1993-10-28	0.4	NULO	16.5	8.5
1993-10-29	1.8	NULO	15	5
1993-10-30	1.6	NULO	18.5	4.5
1993-10-31	0.9	NULO	26	0
1993-11-01	0	NULO	20.5	1.5
1993-11-02	0.6	NULO	21.5	6.5
1993-11-03	0	NULO	22.5	6
1993-11-04	0	NULO	24	8
1993-11-05	0	NULO	26	7.5
1993-11-06	3.3	NULO	18.5	12
1993-11-07	2.6	NULO	20	5.5
1993-11-08	0	NULO	24	6.5
1993-11-09	0.6	NULO	15.5	9
1993-11-10	0	NULO	19	11
1993-11-11	0	NULO	21.5	8
1993-11-12	0	NULO	20.5	9.5
1993-11-13	0	NULO	23.5	8
1993-11-14	0	NULO	25	9
1993-11-15	2.4	NULO	23.5	7.5
1993-11-16	9.2	NULO	22	8
1993-11-17	23.9	NULO	23	8
1993-11-18	12.1	NULO	24.5	7
1993-11-19	0	NULO	21.5	8.5
1993-11-20	0	NULO	23	6.5
1993-11-21	0.8	NULO	15.5	7.5
1993-11-22	1.2	NULO	17	6
1993-11-23	0	NULO	19	7
1993-11-24	0	NULO	22	4.5
1993-11-25	0	NULO	20.5	6
1993-11-26	2.8	NULO	19.5	5.5
1993-11-27	0.4	NULO	18	4
1993-11-28	0	NULO	20	3
1993-11-29	0	NULO	19	3.5
1993-11-30	0.4	NULO	19.5	5
1993-12-01	0	NULO	20	3
1993-12-02	0.4	NULO	19.5	4.5
1993-12-03	1	NULO	18.5	5
1993-12-04	0	NULO	20.5	2.5
1993-12-05	0.4	NULO	19	5.5
1993-12-06	0	NULO	21	4.5
1993-12-07	0	NULO	20.5	4.5
1993-12-08	0	NULO	20	6
1993-12-09	0	NULO	25.5	5.5
1993-12-10	0	NULO	24	7
1993-12-11	0	NULO	23.5	6.5
1993-12-12	0	NULO	22	5.5
1993-12-13	0	NULO	23.5	6.5
1993-12-14	0	NULO	22.5	7.5
1993-12-15	0	NULO	25	6
1993-12-16	0	NULO	24.5	7
1993-12-17	0	NULO	21.5	6
1993-12-18	0	NULO	22	7
1993-12-19	0	NULO	20.5	5.5
1993-12-20	0	NULO	23	7
1993-12-21	4.2	NULO	26.5	5.5
1993-12-22	2	NULO	26	9
1993-12-23	0	NULO	19	4
1993-12-24	0.8	NULO	18.5	4.5
1993-12-25	1.1	NULO	19.5	1.5
1993-12-26	0	NULO	20.5	0.5
1993-12-27	0	NULO	20	2
1993-12-28	0	NULO	22	1.5
1993-12-29	0	NULO	21	4.5
1993-12-30	0	NULO	21.5	5
1993-12-31	0.4	NULO	18	3.5
1994-01-01	0	NULO	23.5	7
1994-01-02	0	NULO	19.5	5
1994-01-03	0	NULO	16	5.5
1994-01-04	0	NULO	19.5	2
1994-01-05	0	NULO	19.5	0.5
1994-01-06	0	NULO	24	1.5
1994-01-07	0	NULO	25.5	0.5
1994-01-08	0	NULO	20.5	-1
1994-01-09	0	NULO	22.5	-2
1994-01-10	0	NULO	23	-1
1994-01-11	0	NULO	20.5	-0.5
1994-01-12	0	NULO	21	2
1994-01-13	15.3	NULO	21.5	8.5
1994-01-14	0	NULO	17	2
1994-01-15	0	NULO	18.5	0.5
1994-01-16	0	NULO	19.5	3
1994-01-17	6.3	NULO	17	3
1994-01-18	13.6	NULO	18.5	1.5
1994-01-19	3.1	NULO	20	1
1994-01-20	5.4	NULO	21.5	2
1994-01-21	3	NULO	20.5	3
1994-01-22	7.8	NULO	21	1.5
1994-01-23	3.9	NULO	19.5	3
1994-01-24	1.2	NULO	18	3.5
1994-01-25	0	NULO	26	5.5
1994-01-26	0	NULO	26	12.5
1994-01-27	0	NULO	27.5	11.5
1994-01-28	0	NULO	24	11
1994-01-29	1.3	NULO	20.5	9
1994-01-30	4.2	NULO	19	4.5
1994-01-31	3.9	NULO	19	2.5
1994-02-01	2.4	NULO	21	6.5
1994-02-02	2.1	NULO	24	0.5
1994-02-03	0	NULO	26	2
1994-02-04	0	NULO	25	7.5
1994-02-05	0	NULO	26	6
1994-02-06	0	NULO	22	7
1994-02-07	0	NULO	22.5	6
1994-02-08	0	NULO	23.5	7.5
1994-02-09	0	NULO	26	8.5
1994-02-10	0.01	NULO	21.5	7
1994-02-11	0	NULO	26.5	5.5
1994-02-12	0	NULO	25.5	8
1994-02-13	9.9	NULO	14	8
1994-02-14	0.8	NULO	19.5	3.5
1994-02-15	0.01	NULO	17	6
1994-02-16	10.7	NULO	16	5.5
1994-02-17	6.3	NULO	14	3
1994-02-18	0	NULO	21.5	5
1994-02-19	0	NULO	26.5	9
1994-02-20	0	NULO	25.5	8.5
1994-02-21	0	NULO	26	7.5
1994-02-22	13.1	NULO	24.5	9
1994-02-23	8.6	NULO	23	7
1994-02-24	0.3	NULO	26.5	5.5
1994-02-25	3.3	NULO	22.5	10.5
1994-02-26	2	NULO	23.5	6.5
1994-02-27	0	NULO	27	2.5
1994-02-28	0	NULO	27	4
1994-03-01	3.4	NULO	26.5	5
1994-03-02	6.7	NULO	23.5	4.5
1994-03-03	5.6	NULO	22	2.5
1994-03-04	0	NULO	28.5	1
1994-03-05	0	NULO	27	3.5
1994-03-06	0	NULO	24	5
1994-03-07	0	NULO	25.5	9
1994-03-08	0	NULO	26.5	13
1994-03-09	3.9	NULO	27.5	10.5
1994-03-10	0.01	NULO	25.5	4.5
1994-03-11	0	NULO	25.5	3
1994-03-12	0	NULO	24.5	4.5
1994-03-13	4.8	NULO	20	2.5
1994-03-14	0.01	NULO	19	4
1994-03-15	0	NULO	22.5	5.5
1994-03-16	0.8	NULO	20	9
1994-03-17	0	NULO	20	5
1994-03-18	0	NULO	26	6.5
1994-03-19	0	NULO	25.5	8
1994-03-20	0	NULO	26.5	7.5
1994-03-21	0	NULO	24.5	9
1994-03-22	0	NULO	28.5	8.5
1994-03-23	0	NULO	30	9
1994-03-24	0	NULO	29	12.5
1994-03-25	0	NULO	30.5	11
1994-03-26	0	NULO	32.5	10
1994-03-27	2.1	NULO	30	10.5
1994-03-28	4.3	NULO	18	8
1994-03-29	3.6	NULO	16	3
1994-03-30	4.8	NULO	17	2.5
1994-03-31	2	NULO	16.5	4
1994-04-01	1.1	NULO	22.5	3
1994-04-02	4.3	NULO	24.5	3.5
1994-04-03	0.01	NULO	23.5	5
1994-04-04	0	NULO	24	5.5
1994-04-05	0	NULO	27.5	13.5
1994-04-06	0	NULO	28	15
1994-04-07	0	NULO	26.5	13
1994-04-08	0	NULO	27	12
1994-04-09	0	NULO	28.5	10.5
1994-04-10	0	NULO	28	9
1994-04-11	0	NULO	29	8.5
1994-04-12	0	NULO	29.5	14
1994-04-13	0	NULO	24	12.5
1994-04-14	1.6	NULO	29	12
1994-04-15	1.9	NULO	28	15
1994-04-16	3.8	NULO	28.5	14
1994-04-17	7.6	NULO	26.5	12.5
1994-04-18	2.3	NULO	25	13
1994-04-19	4.7	NULO	26	12
1994-04-20	11.4	NULO	25.5	14
1994-04-21	14.1	NULO	27.5	11.5
1994-04-22	0.01	NULO	26	12
1994-04-23	0	NULO	24.5	9
1994-04-24	0	NULO	28	6
1994-04-25	0	NULO	26	7.5
1994-04-26	0	NULO	28.5	8
1994-04-27	0	NULO	29	7.5
1994-04-28	0	NULO	27	13.5
1994-04-29	0	NULO	28.5	13
1994-04-30	0.7	NULO	26	12
1994-05-01	4.2	NULO	27	7
1994-05-02	0.2	NULO	24.5	12.5
1994-05-03	0	NULO	26.5	14
1994-05-04	1.4	NULO	23	14
1994-05-05	0.01	NULO	24.5	16
1994-05-06	0	NULO	25	14.5
1994-05-07	0	NULO	26	13.5
1994-05-08	0	NULO	27	12
1994-05-09	0.01	NULO	24	9
1994-05-10	0	NULO	21	13
1994-05-11	0	NULO	23	15
1994-05-12	2.4	NULO	24	12
1994-05-13	11.1	NULO	26.5	10.5
1994-05-14	8.2	NULO	30	11
1994-05-15	23.7	NULO	25.5	12.5
1994-05-16	0	NULO	23.5	11.5
1994-05-17	0.9	NULO	26.5	11.5
1994-05-18	32.8	NULO	27	14
1994-05-19	16.3	NULO	21.5	13
1994-05-20	4.3	NULO	22.5	11
1994-05-21	11.7	NULO	21	10.5
1994-05-22	0.3	NULO	16.5	12
1994-05-23	0	NULO	23	13
1994-05-24	0	NULO	23.5	7
1994-05-25	0	NULO	24.5	8.5
1994-05-26	0	NULO	29	11
1994-05-27	0.01	NULO	26	13.5
1994-05-28	16.3	NULO	27	12
1994-05-29	0.01	NULO	25	13
1994-05-30	0	NULO	25	12.5
1994-05-31	0.01	NULO	24	11.5
1994-06-01	0.3	NULO	24	10
1994-06-02	0	NULO	24	9
1994-06-03	0	NULO	25	10.5
1994-06-04	0	NULO	27	11.5
1994-06-05	91.2	NULO	26.5	13
1994-06-06	0.01	NULO	25	11.5
1994-06-07	0.3	NULO	27.5	12.5
1994-06-08	0.1	NULO	26.5	16
1994-06-09	2.9	NULO	25.5	14
1994-06-10	6.1	NULO	27	13
1994-06-11	4.3	NULO	26.5	11
1994-06-12	5.8	NULO	24	12.5
1994-06-13	0.2	NULO	25	14
1994-06-14	0.01	NULO	24.5	11.5
1994-06-15	0	NULO	23	10
1994-06-16	0.01	NULO	24	9.5
1994-06-17	0.01	NULO	23.5	11.5
1994-06-18	5.9	NULO	25.5	10.5
1994-06-19	16.2	NULO	24	10
1994-06-20	47.8	NULO	24	11
1994-06-21	4.8	NULO	23	11
1994-06-22	0.4	NULO	26	13
1994-06-23	58.7	NULO	26	13.5
1994-06-24	1.2	NULO	22	14.5
1994-06-25	0.6	NULO	25	14
1994-06-26	0	NULO	24	11
1994-06-27	0	NULO	23	10
1994-06-28	0.4	NULO	24	10
1994-06-29	1.8	NULO	23.5	9.5
1994-06-30	0	NULO	25	11
1994-07-01	0	NULO	25.5	1
1994-07-02	0.01	NULO	25	10
1994-07-03	32	NULO	26	9.5
1994-07-04	19.1	NULO	25.5	10.5
1994-07-05	0.01	NULO	26	12.5
1994-07-06	0	NULO	24.5	11
1994-07-07	2.4	NULO	25.5	12
1994-07-08	0.01	NULO	23.5	10.5
1994-07-09	0.01	NULO	24.5	11
1994-07-10	0	NULO	24	12
1994-07-11	0	NULO	25	10.5
1994-07-12	0	NULO	24.5	10.5
1994-07-13	41.9	NULO	24.5	12.5
1994-07-14	2.7	NULO	25	14
1994-07-15	2.9	NULO	23.5	12
1994-07-16	9.6	NULO	22.5	11
1994-07-17	3.8	NULO	22	10
1994-07-18	0.01	NULO	23.5	9.5
1994-07-19	0	NULO	22.5	10
1994-07-20	0	NULO	23	11
1994-07-21	32.7	NULO	24	11.5
1994-07-22	7.8	NULO	24.5	11.5
1994-07-23	10.5	NULO	23.5	9
1994-07-24	1.9	NULO	23	9.5
1994-07-25	0.01	NULO	24	10.5
1994-07-26	0.01	NULO	25	11.5
1994-07-27	0.01	NULO	26	12.5
1994-07-28	0.01	NULO	24	12.5
1994-07-29	0.01	NULO	25	10
1994-07-30	0.01	NULO	24.5	11
1994-07-31	0.01	NULO	23	12
1994-08-01	0	NULO	23.5	11
1994-08-02	0.01	NULO	24.5	10.5
1994-08-03	13.2	NULO	25	12
1994-08-04	38.7	NULO	24	10.5
