COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 13067 
 NOMBRE    : LOS ALAMOS 
 ESTADO    : HIDALGO 
 MUNICIPIO : SAN AGUSTÍN METZQUITITLÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.44027778 ° 
 LONGITUD  : -98.57416667 ° 
 ALTITUD   : 1300 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1973-02-01	0	3.4	25.5	5
1973-02-02	0	2	13	10
1973-02-03	0	2	15	10
1973-02-04	0	5.1	22	9
1973-02-05	0	3.4	26	4
1973-02-06	0	5.1	25	6
1973-02-07	0	6.7	26.5	7.5
1973-02-08	0	4.7	27	7
1973-02-09	0	5.8	15	10
1973-02-10	0	3	20.5	4
1973-02-11	0	4	24	3.5
1973-02-12	0	5.2	25	2.5
1973-02-13	0	4.3	27	6
1973-02-14	0	4.7	22	8
1973-02-15	0	4.9	18	8.5
1973-02-16	0	3.3	15.5	12.5
1973-02-17	0	3.8	24	11
1973-02-18	0	3.3	21	12
1973-02-19	0	4	22	7
1973-02-20	0	3.3	15	10
1973-02-21	0	3.4	23	13
1973-02-22	0	3.9	25.5	12.5
1973-02-23	0	3.4	21.5	11
1973-02-24	0	5.2	22	12
1973-02-25	0	4.2	22	10
1973-02-26	0	4.8	21	10
1973-02-27	0	3.7	17.5	13.5
1973-02-28	0	4.6	20	11
1973-03-01	0	4.3	25	8
1973-03-02	0	5.7	26	8.5
1973-03-03	0	6	25	8.5
1973-03-04	0	5.7	27.5	10
1973-03-05	0	7.6	30	12.5
1973-03-06	0	7.4	28.5	11
1973-03-07	0	4	27	11
1973-03-08	0	5.1	30.5	11
1973-03-09	0	8.8	31	11.5
1973-03-10	0	6.5	28.5	10.5
1973-03-11	0	6.1	30	12
1973-03-12	0	6.4	30.5	12.5
1973-03-13	0	6.2	30	12
1973-03-14	0	6.8	30	11
1973-03-15	0	6.6	30.5	11
1973-03-16	0	6.4	20	11.5
1973-03-17	0	4.3	23	10
1973-03-18	0	6.2	25	10
1973-03-19	0	5.7	28	11
1973-03-20	0	4.4	30	11
1973-03-21	0	4.8	27	10
1973-03-22	0	3.7	26	12
1973-03-23	0	5.2	27.5	11
1973-03-24	0	6.1	28.5	12
1973-03-25	0	7.6	30	12.5
1973-03-26	0	5.3	25	11
1973-03-27	0	7	30	10
1973-03-28	0	7.4	31	10
1973-03-29	0	9	31.5	12
1973-03-30	0	8.7	30.5	11
1973-03-31	0	5.3	30.5	10
1973-04-01	0	5	30	10
1973-04-02	0	9	30	10
1973-04-03	0	9.3	30	11
1973-04-04	0	6.3	20	11.5
1973-04-05	3	3.5	20	10
1973-04-06	0	4.1	23.5	10.5
1973-04-07	0	4.4	25	10
1973-04-08	0	4.6	26.5	10
1973-04-09	0	4.4	22	8
1973-04-10	0	7	20	6.5
1973-04-11	0	8.4	25	5
1973-04-12	0	5	25	11
1973-04-13	0	6.8	25.5	10
1973-04-14	0	4.4	26	10
1973-04-15	2	5.1	26	11
1973-04-16	6	5.8	27	12
1973-04-17	2.5	4	25	13
1973-04-18	0	5.8	27	11
1973-04-19	0	5.6	26.5	12
1973-04-20	0	7.6	31.5	12
1973-04-21	0	8.4	30	13
1973-04-22	0	6.6	30.5	12.5
1973-04-23	0	9.1	30	14
1973-04-24	0	5.5	30	15
1973-04-25	0	7.3	30.5	15
1973-04-26	0	6.8	26	15
1973-04-27	0	4.9	26	16.5
1973-04-28	0	5.2	25.5	15
1973-04-29	0	6.8	27	14
1973-04-30	14	6.4	30	12
1973-05-01	0	8.3	26	15
1973-05-02	0	6.7	27.5	14.5
1973-05-03	0	3.2	20	17
1973-05-04	0	5.3	22.5	16
1973-05-05	0	5.1	25	14
1973-05-06	0	6.4	28	14
1973-05-07	0	7.4	30	16
1973-05-08	3	4.7	26	16
1973-05-09	0	3.5	25	14.5
1973-05-10	0	6.1	25	14
1973-05-11	0	5.1	27	14
1973-05-12	0	5.9	27	16
1973-05-13	0	7.3	26	15
1973-05-14	0	4.2	18	15
1973-05-15	0	6.8	16	12
1973-05-16	0	7.3	20	13
1973-05-17	2	5	21	12
1973-05-18	4	2.1	20	13.5
1973-05-19	0	6.1	23	13
1973-05-20	0	3.2	24.5	12
1973-05-21	0	4.9	25	14
1973-05-22	0	5.6	28	10
1973-05-23	0	7.3	30	11.5
1973-05-24	0	8.9	30.5	14
1973-05-25	0	9.6	31	14.5
1973-05-26	0	6.2	30.5	13
1973-05-27	0	7.4	32.5	15
1973-05-28	0	6	30	15
1973-05-29	0	4.5	25	16.5
1973-05-30	7	4.4	20	16
1973-05-31	0	6.1	22	15
1973-06-01	0	5.2	20	12.5
1973-06-02	0	5.3	25.5	12
1973-06-03	0	9.4	27	13.5
1973-06-04	0	6.1	25	13
1973-06-05	0	6.8	26	14
1973-06-06	2	3.3	25	13
1973-06-07	7	7.1	23	11
1973-06-08	0	2.7	21	13.5
1973-06-09	3	4.1	21	15
1973-06-10	5	2.2	23.5	13.5
1973-06-11	0	6	25	14
1973-06-12	0	5.9	27	14
1973-06-13	0	6.6	26	15
1973-06-14	0	5.4	23	15
1973-06-15	0	5.7	25	16.5
1973-06-16	0	7.3	30	16.5
1973-06-17	0	6.1	26	16
1973-06-18	0	7	26	16
1973-06-19	0	7.6	25	15
1973-06-20	0	5.4	23	15
1973-06-21	8	2.1	20	17
1973-06-22	17.5	2.5	20	15
1973-06-23	10	4.7	23	15.5
1973-06-24	12	3.1	22.5	14
1973-06-25	10	3	23.5	16
1973-06-26	45	3.2	22	17
1973-06-27	3	2.1	22	16
1973-06-28	4.5	4.9	21	16
1973-06-29	0	4.9	21	17
1973-06-30	0	3.2	21	18
1973-07-01	0	4.3	23	16
1973-07-02	3	4.7	20	16
1973-07-03	20	2.2	20	16
1973-07-04	3	2.7	20.5	14
1973-07-05	3	2.1	20	14.5
1973-07-06	1	4.1	22	15
1973-07-07	0	2.2	22.5	16
1973-07-08	3	3.2	22	15
1973-07-09	1	3.4	20	15
1973-07-10	0	5	21	13
1973-07-11	0	4.2	20	15
1973-07-12	0	4.7	21	15
1973-07-13	0	5.2	23	15.5
1973-07-14	4	2.7	23.5	16
1973-07-15	0	5.8	24	14.5
1973-07-16	0	5.7	22	15
1973-07-17	0	5.6	22	15
1973-07-18	0	5.7	22	14
1973-07-19	0	5.4	22	14
1973-07-20	0	5	22.5	12
1973-07-21	0	4.7	23	13.5
1973-07-22	0	6.7	22	15
1973-07-23	4.5	3.5	21	16
1973-07-24	2	5.1	20	15
1973-07-25	2	1.7	20	16
1973-07-26	4.5	2.2	20	16
1973-07-27	0	5.1	21	14
1973-07-28	0	3.7	21	14
1973-07-29	0	6.4	20	15
1973-07-30	0	7.7	25	14
1973-07-31	0	7	24	15
1973-08-01	0	5.2	23	14
1973-08-02	0	5.3	23	16
1973-08-03	0	6.4	23	14
1973-08-04	0	4	23.5	16
1973-08-05	0	4.9	22	15
1973-08-06	0	4.2	23	16
1973-08-07	0	2.1	22	16
1973-08-08	0	4.2	22	16
1973-08-09	0	5.3	22	15
1973-08-10	14	2.6	21	14
1973-08-11	0	2.6	20.5	15
1973-08-12	5	2	21	14
1973-08-13	12	3.7	20	14
1973-08-14	4	2.6	20	16
1973-08-15	0	5.7	21	16
1973-08-16	5	3	21	16
1973-08-17	0	3.7	21	15
1973-08-18	0	4.2	21.5	16
1973-08-19	0	1.4	21	15
1973-08-20	0	5	20	14
1973-08-21	0	3.3	20	13
1973-08-22	27	2	20	14
1973-08-23	0	2.1	20	14
1973-08-24	0	3	20.5	13
1973-08-25	0	3.2	21	15
1973-08-26	14	2	20	14
1973-08-27	4	2.4	18	14.5
1973-08-28	6	2.1	21	14
1973-08-29	0	2.7	21	16
1973-08-30	0	4.8	20.5	14
