MWShapeID,D_R,CLAVE_WRB,N_G1,N_CP_G1,GH_SUELO,CVE_D,CVE_G,CLASS_CN,CVE_V,TIP_VEG,COND_HIDRO,VALOR_CN,ID_Calculo,areaPoligo,CalcArea,Porcentaje,ValorN,N_condN,N_CorrA,N_CorrB,N_corrS0,N_corrS
0,0.0,ZU,LOCALIDAD,,D,AH,AH,ESTACIONAMIENTOS CALLES Y CARRETERAS,AH,NO APLICABLE,MALA,98.0,1.0,1494.553893000000,0.364102464100,0.024361949400,0.023874710400,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
1,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,9.203866053400,0.615826976500,0.511136390500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
2,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,4.444599538300,0.297386367800,0.246830685300,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
3,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,PSCA,IEFF,BOSQUE Y SELVA,VSA/SMQ,SELVA MEDIANA SUBPERENNIFOLIA,REGULAR,79.0,1.0,1494.553893000000,2.392368656000,0.160072424700,0.126457215500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
4,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,IAPF,TP,TIERRA CULTIVADA,IAPF,NO APLICABLE,BUENA,89.0,1.0,1494.553893000000,0.001786453800,0.000119530900,0.000106382500,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
5,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,IAPF,TAP,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.757280256100,0.050669317400,0.046109078800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
6,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.831674537500,0.055647008800,0.050638778000,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
7,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,IAPF,TA,TIERRA CULTIVADA,IAPF,NO APLICABLE,MALA,91.0,1.0,1494.553893000000,0.155984782200,0.010436879000,0.009497559900,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
8,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,PSSC,IEFF,BOSQUE Y SELVA,VSa/SAP,SELVA ALTA PERENNIFOLIA,MALA,83.0,1.0,1494.553893000000,0.324748634700,0.021728800500,0.018034904400,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
9,0.0,LPeuhu+RGcalep/3,LEPTOSOL,H̼mico,D,IAPF,PC,PASTIZALES FORRAJE CONTINUO PARA PASTOREO,IAPF,NO APLICABLE,BUENA,80.0,1.0,1494.553893000000,0.065344547100,0.004372177300,0.003497741800,72.873371098000,54.448045318000,86.724022659000,68.256487244000,77.490254952000
